,List_Num,Story_Num,Cond_Num,Page_Num,Sentence,,Question_Num,Question,Target,Distractor
19,2,19,1,1,"Interestingly, the heaviest isotopes physicists have managed to synthesize so far don't behave quite like science's best current models predict, so stable superheavy nuclei are likely to be full of surprises. Chemists cannot even predict with any certainty whether these materials will exist as gases, liquids, or solids at room temperature.",,19,Are the heavy isotopes easy to predict by Chemists?,No,Yes
20,2,20,1,1,"Buck did not like it, but he bore up well to the work, taking pride in it. It was a monotonous life, operating with machine-like regularity. One day was very like another. At a certain time each morning the cooks turned out, fires were built, and breakfast was eaten. ",,20,Did Buck enjoy his monotonous life? ,No,Yes
21,2,21,1,1,"These days, neuroscience is beginning to catch up to musicians who practice mentally. Although the details are still somewhat elusive, the key to the success of mental imagery as a rehearsal technique is that most of the same neurological regions are invoked by mental practice as by real practice. ",,21,Are most of the same neurological regions invoked by mental practice as by real practice? ,Yes,No
22,2,22,1,1,"Not only smoke came out of it. There came also children's voices, for so safe did the boys feel in their hiding-place that they were gaily chattering. The pirates listened grimly, and then replaced the mushroom. They looked around them and noted the holes in the seven trees. ",,22,Did the pirates hear the children's voices? ,Yes,No
23,2,23,1,1,"When a nucleus has all of its proton shells or neutron shells loaded to full capacity, the layers can align so well that each shell can spoon intimately with its attractive neighbors, forming a more compact sphere that fits well within the strong nuclear force's area of influence. ",,23,Is the passage about astronomy?,No,Yes
24,2,24,1,1,Hybrid vehicles have a halo that makes owners feel righteous and their neighbors feel guilty for not doing as much to save the planet. They also cost more and a new report from the very green Union of Concerned Scientists says buyers aren't always getting their money's worth.,,24,Are hybrid vehicles always less expensive than conventional ones?,No,Yes
25,2,25,1,1,"The girl's feet were then re-wrapped even tighter than before, causing her footprint to shrink further as the bones slowly fused into their new configuration. Occasionally girls' feet would fester, and blood poisoning from gangrene could be a cause for concern, but an estimated 90% survived the process.",,25,Does the process of foot binding fuse the bones?,Yes,No
26,2,26,1,1,"An early task will be to make sure the newfound microbes were not introduced while drilling through the ice into the lake, which involved a hot-water drilling technique designed to greatly reduce or eliminate any contamination that might come from other kerosene-based drilling technology, Christner said. ",,26,Were the scientists drilling in the ocean?,No,Yes
27,2,27,1,1,"Very similar, but even more striking, is the evidence from athletic training. As with rehearsing a piece on the piano, practicing a complex physical task in the mind alone is nearly as effective a learning strategy as actually physically doing it. But it doesn’t stop there. ",,27,Is practicing a complex physical task in the mind an effective rehearsal strategy? ,Yes,No
28,2,28,1,1,"A bill was drafted and introduced into Parliament several times but met with great opposition, mostly from farmers. Eventually, in 1925, it was decided that summer time should begin on the day following the third Saturday in April and close after the first Saturday in October.",,28,Was the bill about driving regulations?,No,Yes
29,2,29,1,1,"When early Europeans discovered Easter Island, its somewhat isolated ecosystem was suffering from the effects of limited natural resources, deforestation, and overpopulation. Over the following years the island's population of four thousand or so was slowly eroded by Western disease and deportation by slave traders. ",,29,Was the island’s population killed in a big storm?,No,Yes
30,2,30,1,1,"Binge drinking may not necessarily kill or even damage brain cells, as commonly thought, a new animal study suggests. But it can block key receptors in the brain and trigger production of a steroid that interferes with brain functions critical to learning and memory. ",,30,Can Binge Drinking block neuronal receptors?,Yes,No
31,2,31,1,1,"When preparing to check out of their hotel room, some frequent travelers pile up their used bath towels on the bathroom floor, which would make them easy for housekeepers to spot. Other travelers neatly fold them, or hang them from the shower curtain pole.",,31,Do some people fold their towels when staying in hotels?,Yes,No
32,2,32,1,1,"In no celestial hurry, Neptune has just completed its first orbit around the sun since being discovered 165 years ago by Earthlings. As Space.com notes, the big blue-green gas bag is the only planet in our solar system to be discovered by mathematics.",,32,Has Neptune completed its first orbit around the sun since being discovered by Earthlings? ,Yes,No
33,2,33,1,1,"When attacked, a skunk's natural inclination is to turn around, lick its tail and spray a noxious scent. That works when a skunk faces a natural predator in the wild, but it's not as helpful when faced with, let's say, an oncoming car.",,33,Is this passage about porcupine scent?,No,Yes
34,2,34,1,1,"Lady Gaga's YouTube account was suspended Thursday. The notice read that the suspension was due to ""multiple or severe violations of YouTube's copyright policy."" The Google Inc.-owned YouTube declined to comment. It's YouTube policy to remove accounts after three copyright violations. ",,34,Was Lady Gaga's YouTube account suspended? ,Yes,No
35,2,35,1,1,"The astronauts used a hefty robotic arm to move the bus-size canister, stuffed with nearly three tons of packing foam and other space station refuse. It was the last job shared by the shuttle and station crews, numbering ten astronauts altogether.",,35,Was the canister stuffed with food supplies?,No,Yes
36,2,36,1,1,"Rich investors with no ties to farming, no dirt under their nails, are confident enough to wager big on a patch of earth betting that it's a smart investment because food will only get more expensive around the world.",,36,Are rich investors investing in farming? ,Yes,No